n,p,r_mean,r_std,r_min,r_max,cnot_mean,gate_mean,depth_mean,n_iter_mean,wall_time_mean,n_seeds
3,1,1.0,0.0,1.0,1.0,6.0,15.0,11.0,68.0,0.92915253642,5
3,2,1.0,0.0,1.0,1.0,12.0,24.0,20.0,118.0,1.0250835418800002,5
3,3,1.0,0.0,1.0,1.0,18.0,33.0,29.0,182.0,1.15534343718,5
4,1,0.9243790248,0.0,0.9243790248,0.9243790248,12.0,26.0,20.0,59.0,1.4013323784,5
4,2,0.9999807155999999,0.0,0.9999807156,0.9999807156,24.0,48.0,36.0,259.0,1.8260462761,5
4,3,0.9999999995000002,0.0,0.9999999995000001,0.9999999995000001,36.0,70.0,52.0,459.0,2.3239139557,5
6,1,0.8172582999400001,0.06976991056168139,0.6924500897,0.8484603525000001,18.0,39.0,20.0,52.6,2.13163838386,5
6,2,0.9328395596,0.023341983964798755,0.8910841493,0.9432784122000001,36.0,72.0,35.4,181.4,2.53702225688,5
6,3,0.9828996712,0.0007306456118467336,0.9825708310000001,0.9842066879,54.0,105.0,50.8,381.4,3.1637070655599997,5
8,1,0.8035659271,0.006426028477035119,0.8006921198,0.8150611563,24.0,52.0,26.0,52.0,3.0029524803200003,5
8,2,0.8824847202600001,0.009078998941123163,0.8784244685,0.8987257273,48.0,96.0,46.2,161.4,3.4732632637000003,5
8,3,0.93853134074,0.005441092331461186,0.9360980102,0.9482646626000001,72.0,140.0,66.4,361.4,4.3850718975,5
10,1,0.7910058989200001,0.019491394396496782,0.7647523404000001,0.8180023390000001,30.0,65.0,27.2,52.4,4.60605993272,5
10,2,0.87103366432,0.023273827581745624,0.8360361012,0.8925532935,60.0,120.0,46.8,189.6,5.42265148162,5
10,3,0.9173028627200001,0.02387606967777681,0.8841498544,0.9390248726,90.0,175.0,66.4,389.6,6.83454546928,5
