n,p,r_mean,r_std,r_min,r_max,cnot_mean,gate_mean,depth_mean,n_iter_mean,wall_time_mean,n_seeds
3,1,0.999999999998466,0.0,0.999999999998466,0.999999999998466,6.0,15.0,11.0,68.0,0.9489986896514893,3
3,2,0.999999999999068,0.0,0.999999999999068,0.999999999999068,12.0,24.0,20.0,118.0,1.0354476769765217,3
3,3,0.9999999999997239,0.0,0.9999999999997239,0.9999999999997239,18.0,33.0,29.0,182.0,1.2071539560953777,3
4,1,0.9243790248128428,0.0,0.9243790248128428,0.9243790248128428,12.0,26.0,20.0,59.0,1.4595523675282795,3
4,2,0.9999807155614405,0.0,0.9999807155614405,0.9999807155614405,24.0,48.0,36.0,259.0,1.8178332646687825,3
4,3,0.9999999995406709,0.0,0.9999999995406708,0.9999999995406708,36.0,70.0,52.0,459.0,2.309093793233236,3
6,1,0.7964569315898767,0.09007256721824682,0.6924500897297657,0.8484603525199408,18.0,39.0,21.0,48.333333333333336,2.1442968050638833,3
6,2,0.9258803245334338,0.030134371708406618,0.8910841492980163,0.9432784121513885,36.0,72.0,38.0,169.66666666666666,2.5236079692840576,3
6,3,0.9831177954385328,0.0009430085330686336,0.9825732976733834,0.9842066878977374,54.0,105.0,55.0,369.6666666666667,3.1824103196461997,3
8,1,0.8006921197765454,1.3542586738036823e-13,0.8006921197764154,0.8006921197766858,24.0,52.0,26.0,51.0,3.038128058115641,3
8,2,0.8784244684530232,2.1250876619087897e-12,0.8784244684517496,0.8784244684554764,48.0,96.0,44.0,156.66666666666666,3.520320415496826,3
8,3,0.9360980102971138,5.373304463811926e-12,0.9360980102938953,0.936098010303317,72.0,140.0,62.0,356.6666666666667,4.237502574920654,3
10,1,0.7898005502194625,0.026764704052227906,0.7647523404466923,0.8180023390351727,30.0,65.0,26.0,52.333333333333336,4.875969966252645,3
10,2,0.8624823110628651,0.028432419632888777,0.8360361012477532,0.8925532934626154,60.0,120.0,46.0,198.33333333333334,6.002405961354573,3
10,3,0.9052077270414204,0.02405672092368919,0.8841498544157459,0.9314258418528572,90.0,175.0,66.0,398.3333333333333,7.145220438639323,3
