n,p,seed,n_edges,C_star,final_expectation,approximation_ratio,gammas,betas,gate_count,cnot_count,single_qubit_count,depth,n_iterations,wall_time_seconds
3,1,0,3,2,-2.0,1.0,[0.6154782792],[1.2630564733],15,6,9,11,68,0.9823508263
3,1,1,3,2,-2.0,1.0,[0.6154782792],[1.2630564733],15,6,9,11,68,0.9209856987
3,1,2,3,2,-2.0,1.0,[0.6154782792],[1.2630564733],15,6,9,11,68,0.9258322716
3,1,3,3,2,-2.0,1.0,[0.6154782792],[1.2630564733],15,6,9,11,68,0.9160189629000001
3,1,4,3,2,-2.0,1.0,[0.6154782792],[1.2630564733],15,6,9,11,68,0.9005749226
3,2,0,3,2,-2.0,1.0,"[0.6154782987, 2.1991148576]","[1.2630561435, 1.0763e-06]",24,12,12,20,118,1.0293741226
3,2,1,3,2,-2.0,1.0,"[0.6154782987, 2.1991148576]","[1.2630561435, 1.0763e-06]",24,12,12,20,118,1.0136289597
3,2,2,3,2,-2.0,1.0,"[0.6154782987, 2.1991148576]","[1.2630561435, 1.0763e-06]",24,12,12,20,118,1.0185689926000001
3,2,3,3,2,-2.0,1.0,"[0.6154782987, 2.1991148576]","[1.2630561435, 1.0763e-06]",24,12,12,20,118,1.0120646954
3,2,4,3,2,-2.0,1.0,"[0.6154782987, 2.1991148576]","[1.2630561435, 1.0763e-06]",24,12,12,20,118,1.0517809391
3,3,0,3,2,-2.0,1.0,"[0.6154776948, 2.2041154705, 2.2046148754]","[1.2630553428, 6.182000000000001e-07, -8.594e-07]",33,18,15,29,182,1.2141821384
3,3,1,3,2,-2.0,1.0,"[0.6154776948, 2.2041154705, 2.2046148754]","[1.2630553428, 6.182000000000001e-07, -8.594e-07]",33,18,15,29,182,1.1511170864
3,3,2,3,2,-2.0,1.0,"[0.6154776948, 2.2041154705, 2.2046148754]","[1.2630553428, 6.182000000000001e-07, -8.594e-07]",33,18,15,29,182,1.1525630951
3,3,3,3,2,-2.0,1.0,"[0.6154776948, 2.2041154705, 2.2046148754]","[1.2630553428, 6.182000000000001e-07, -8.594e-07]",33,18,15,29,182,1.1361160278
3,3,4,3,2,-2.0,1.0,"[0.6154776948, 2.2041154705, 2.2046148754]","[1.2630553428, 6.182000000000001e-07, -8.594e-07]",33,18,15,29,182,1.1227388382
4,1,0,6,4,-3.6975160993,0.9243790248,[0.49151990570000004],[1.2883398885],26,12,14,20,59,1.4002332687
4,1,1,6,4,-3.6975160993,0.9243790248,[0.49151990570000004],[1.2883398885],26,12,14,20,59,1.4020049572
4,1,2,6,4,-3.6975160993,0.9243790248,[0.49151990570000004],[1.2883398885],26,12,14,20,59,1.4086339474
4,1,3,6,4,-3.6975160993,0.9243790248,[0.49151990570000004],[1.2883398885],26,12,14,20,59,1.396958828
4,1,4,6,4,-3.6975160993,0.9243790248,[0.49151990570000004],[1.2883398885],26,12,14,20,59,1.3988308907
4,2,0,6,4,-3.9999228622,0.9999807156,"[0.4611350213, 1.4021238554]","[1.293902041, 1.4084528645]",48,24,24,36,259,1.8422546387
4,2,1,6,4,-3.9999228622,0.9999807156,"[0.4611350213, 1.4021238554]","[1.293902041, 1.4084528645]",48,24,24,36,259,1.7511548996
